dimension,granularity,indicator_name,status,result
quality,groups,expected_client_count_and_total_cost_ratio,index 0 is out of bounds for axis 0 with size 0,
quality,groups,expected_desired_activity_count,success,0.18181818181818182
quality,groups,expected_human_resource_count,success,0.36363636363636365
quality,groups,expected_non_automated_activity_count,success,0.18181818181818182
quality,groups,expected_non_automated_activity_instance_count,single positional indexer is out-of-bounds,
quality,groups,expected_outcome_unit_count,index 0 is out of bounds for axis 0 with size 0,
quality,groups,expected_overall_quality,success,3.3333333333333335
quality,groups,expected_repeatability,success,0.6363636363636364
quality,groups,expected_rework_count,success,4.666666666666667
quality,groups,expected_rework_count_by_value,success,4.666666666666667
quality,groups,expected_rework_of_activities_subset,success,3.6666666666666665
quality,groups,expected_rework_percentage,success,0.6
quality,groups,expected_rework_percentage_by_value,success,0.6
quality,groups,expected_rework_time,single positional indexer is out-of-bounds,
quality,groups,expected_successful_outcome_unit_count,index 0 is out of bounds for axis 0 with size 0,
quality,groups,expected_successful_outcome_unit_percentage,"Error performing indicator division. Numerator value=0.0, denominator value=0.0",
quality,groups,expected_total_cost_and_client_count_ratio,index 0 is out of bounds for axis 0 with size 0,
quality,groups,expected_unwanted_activity_count,success,0
quality,groups,expected_unwanted_activity_instance_count,single positional indexer is out-of-bounds,
quality,groups,expected_unwanted_activity_instance_percentage,single positional indexer is out-of-bounds,
quality,groups,expected_unwanted_activity_percentage,success,0.0
quality,groups,human_resource_count,success,3
quality,groups,non_automated_activity_count,success,2
quality,groups,non_automated_activity_instance_count,single positional indexer is out-of-bounds,
quality,groups,outcome_unit_count,index 0 is out of bounds for axis 0 with size 0,
quality,groups,repeatability,success,0.6363636363636364
quality,groups,rework_count,success,14
quality,groups,rework_count_by_value,success,14
quality,groups,rework_of_activities_subset,success,11
quality,groups,rework_percentage,success,0.6363636363636364
quality,groups,rework_percentage_by_value,success,0.6363636363636364
quality,groups,rework_time,single positional indexer is out-of-bounds,
quality,groups,successful_outcome_unit_count,index 0 is out of bounds for axis 0 with size 0,
quality,groups,successful_outcome_unit_percentage,index 0 is out of bounds for axis 0 with size 0,
quality,groups,total_cost_and_client_count_ratio,index 0 is out of bounds for axis 0 with size 0,
quality,groups,unwanted_activity_count,success,0
quality,groups,unwanted_activity_instance_count,single positional indexer is out-of-bounds,
quality,groups,unwanted_activity_instance_percentage,single positional indexer is out-of-bounds,
quality,groups,unwanted_activity_percentage,success,0.0
quality,instances,outcome_unit_count_for_single_events_of_activity_instances,Instance id i_1 not found in event log.,
quality,instances,outcome_unit_count_for_sum_of_all_events_of_activity_instances,Instance id i_1 not found in event log.,
quality,instances,successful_outcome_unit_count,Instance id i_1 not found in event log.,
quality,instances,successful_outcome_unit_percentage,Instance id i_1 not found in event log.,
time,activities,lead_time,single positional indexer is out-of-bounds,
time,activities,service_and_lead_time_ratio,single positional indexer is out-of-bounds,
time,activities,service_time,single positional indexer is out-of-bounds,
time,activities,waiting_time,single positional indexer is out-of-bounds,
time,cases,active_time,success,0 days 00:00:08
time,cases,activity_count,success,1
time,cases,activity_instance_count,success,2
time,cases,automated_activity_count,success,1
time,cases,automated_activity_instance_count,success,2
time,cases,automated_activity_service_time,success,0 days 00:00:08
time,cases,handover_count,success,0
time,cases,idle_time,success,0 days 00:00:00
time,cases,lead_time,success,0 days 00:00:08
time,cases,lead_time_deviation_from_deadline,success,0 days 23:59:52
time,cases,lead_time_deviation_from_expectation,success,0 days 11:59:52
time,cases,lead_time_from_activity_a,success,0 days 00:00:08
time,cases,lead_time_from_activity_a_to_b,success,
time,cases,lead_time_to_activity_a,success,0 days 00:00:02
time,cases,service_and_lead_time_ratio,success,1.0
time,cases,service_time,success,0 days 00:00:08
time,cases,service_time_from_activity_a_to_b,success,
time,cases,waiting_time,success,0 days 00:00:00
time,cases,waiting_time_from_activity_a_to_b,success,
time,groups,activity_count,success,4
time,groups,activity_instance_count,success,22
time,groups,automated_activity_count,success,2
time,groups,automated_activity_instance_count,single positional indexer is out-of-bounds,
time,groups,automated_activity_service_time,single positional indexer is out-of-bounds,
time,groups,case_count_lead_time_ratio,success,89.25619834710743
time,groups,case_count_where_lead_time_over_value,'>' not supported between instances of 'Timedelta' and 'int',
time,groups,case_percentage_where_lead_time_over_value,'>' not supported between instances of 'Timedelta' and 'int',
time,groups,case_percentage_with_missed_deadline,'>' not supported between instances of 'Timestamp' and 'int',
time,groups,expected_active_time,single positional indexer is out-of-bounds,
time,groups,expected_activity_count,success,2.6666666666666665
time,groups,expected_activity_instance_count,success,7.333333333333333
time,groups,expected_automated_activity_count,success,1.3333333333333333
time,groups,expected_automated_activity_instance_count,single positional indexer is out-of-bounds,
time,groups,expected_automated_activity_service_time,single positional indexer is out-of-bounds,
time,groups,expected_handover_count,single positional indexer is out-of-bounds,
time,groups,expected_idle_time,single positional indexer is out-of-bounds,
time,groups,expected_lead_time,success,0 days 00:00:41.666666666
time,groups,expected_lead_time_deviation_from_deadline,success,0 days 23:59:18.333333333
time,groups,expected_lead_time_deviation_from_expectation,success,0 days 11:59:18.333333333
time,groups,expected_lead_time_from_activity_a,index 0 is out of bounds for axis 0 with size 0,
time,groups,expected_lead_time_from_activity_a_to_b,index 0 is out of bounds for axis 0 with size 0,
time,groups,expected_lead_time_to_activity_a,single positional indexer is out-of-bounds,
time,groups,expected_service_and_lead_time_ratio,single positional indexer is out-of-bounds,
time,groups,expected_service_time,single positional indexer is out-of-bounds,
time,groups,expected_service_time_from_activity_a_to_b,index 0 is out of bounds for axis 0 with size 0,
time,groups,expected_waiting_time,single positional indexer is out-of-bounds,
time,groups,expected_waiting_time_from_activity_a_to_b,'sgl',
time,groups,lead_time,success,0 days 00:02:01
time,groups,lead_time_and_case_count_ratio,success,0 days 00:00:40.333333333
time,groups,service_and_lead_time_ratio,single positional indexer is out-of-bounds,
time,groups,service_time,single positional indexer is out-of-bounds,
time,groups,service_time_from_activity_a_to_b,'sgl',
time,instances,lead_time,Instance id i_1 not found in event log.,
time,instances,service_and_lead_time_ratio,Instance id i_1 not found in event log.,
time,instances,service_time,Instance id i_1 not found in event log.,
time,instances,waiting_time,Instance id i_1 not found in event log.,
